Subject,Title,Price,Rating,ReviewCount,URL,Sold By
mouse,"HP X200 Wireless Mouse with 2.4 GHz Wireless connectivity, Adjustable DPI up to 1600, ambidextrous Design, and 18-Month Long Battery Life. 3-Years Warranty (6VY95AA)",₹549,4.1,"10,167",https://www.amazon.in/HP-Wireless-Mouse-X200-6VY95AA/dp/B083RCTXLL/ref=sr_1_29?keywords=mouse&qid=1696919478&sr=8-29,Appario Retail Private Ltd
mouse,"Redgear A-15 Wired Gaming Mouse with Upto 6400 DPI, RGB & Driver Customization for PC(Black)",₹449,4.3,"17,917",https://www.amazon.in/Redgear-Gaming-Semi-Honeycomb-Windows-Gamers/dp/B08CHZ3ZQ7/ref=sr_1_30?keywords=mouse&qid=1696919478&sr=8-30,Appario Retail Private Ltd
mouse,"Amazon Basics AmazonBasics Wireless Mouse | 2.4 GHz Connection, 1600 DPI | Type - C Adapter | Upto 12 Months of Battery Life | Ambidextrous Design | Suitable for PC/Mac/Laptop",₹349,4.1,265,https://www.amazon.in/Amazon-Basics-AmazonBasics-Wireless-Connection/dp/B0C811KLKZ/ref=sr_1_31?keywords=mouse&qid=1696919478&sr=8-31,Appario Retail Private Ltd
mouse,Zebronics Zeb-Comfort+ Wired Mouse,₹99,3.6,"3,439",https://www.amazon.in/Zebronics-Zeb-Comfort-Wired-Mouse-Black/dp/B07L94YR16/ref=sr_1_32?keywords=mouse&qid=1696919478&sr=8-32,Appario Retail Private Ltd
keyboard,Dell KB216/KB216d1 Multimedia USB Keyboard with Super Quite Plunger Keys with Spill-Resistant Wired Keybaord Black,₹529,4.3,"32,903",https://www.amazon.in/Dell-KB216-Wired-Multimedia-Keyboard/dp/B00ZYLMQH0/ref=sr_1_1?keywords=keyboard&qid=1696920078&sr=8-1,Appario Retail Private Ltd
keyboard,"Zebronics K24 USB Keyboard with Long Life 8 Million Keystrokes, Silent & Comfortable Use, Slim Design, Retractable Stand, 1.5 Meter Textured Cable, Chiclet Keys and Uv Coated Keycaps",₹279,3.8,"1,223",https://www.amazon.in/Zebronics-Keyboard-keystrokes-Comfortable-Retractable/dp/B0B29G5SSW/ref=sr_1_2?keywords=keyboard&qid=1696920078&sr=8-2,Appario Retail Private Ltd
keyboard,Zebronics ZEB-KM2100 Multimedia USB Keyboard Comes with 114 Keys Including 12 Dedicated Multimedia Keys & with Rupee Key,₹199,3.7,"36,751",https://www.amazon.in/Zebronics-Km2100-Multimedia-USB-Keyboard/dp/B077T3BG5L/ref=sr_1_3?keywords=keyboard&qid=1696920078&sr=8-3,Appario Retail Private Ltd
keyboard,"HP K300 Backlit Membrane Wired Gaming Keyboard with Mixed Color Lighting, 4 LED Indicators, Matte Finish Double Injection Key Caps and Windows Lock Key / 3 Years Warranty(4QM95AA)",₹649,4.1,"2,437",https://www.amazon.in/HP-K300-Gaming-Keyboard-4QM95AA/dp/B08497X176/ref=sr_1_4?keywords=keyboard&qid=1696920078&sr=8-4,Appario Retail Private Ltd
keyboard,"HP 150 Wired Keyboard, Quick, Comfy and Ergonomically Design, 12Fn Shortcut Keys, Plug and Play USB Connection and LED Indicator, 3 Years Warranty",₹499,4.2,936,https://www.amazon.in/HP-Ergonomically-Connection-Indicator-664R5AA/dp/B0B71WT5XT/ref=sr_1_5?keywords=keyboard&qid=1696920078&sr=8-5,Appario Retail Private Ltd
keyboard,"Zebronics Zeb-Transformer Gaming Keyboard and Mouse Combo (USB, Braided Cable)","₹1,098",4.3,"30,104",https://www.amazon.in/Zebronics-Transformer-Gaming-Multimedia-Keyboard/dp/B07BRKK9JQ/ref=sr_1_6?keywords=keyboard&qid=1696920078&sr=8-6,Appario Retail Private Ltd
